DATE,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
31-12-2018,298.1,295.05,295.65,1779006,7296
28-12-2018,297.05,293.6,294.45,1195602,7179
27-12-2018,297.5,291.05,291.85,905888,6782
26-12-2018,294.8,287.2,293.95,1965380,8730
24-12-2018,294.95,289.85,292.8,1649779,8276
21-12-2018,296.45,290.05,291.65,1994307,10628
20-12-2018,301.5,293,293.85,2250216,9100
19-12-2018,301.95,294.05,300.4,3368259,17317
18-12-2018,294,287,292.55,1555559,9709
17-12-2018,291.3,287.1,288.65,1490329,8620
14-12-2018,290.85,286.95,289.15,1000259,5947
13-12-2018,294.05,286,288.6,1542462,10053
12-12-2018,285.8,282.55,285.25,844352,6617
11-12-2018,283,267.3,281.2,1231049,9174
10-12-2018,276.4,261.1,273.4,763037,6441
07-12-2018,277.5,272.25,275.4,697518,4098
06-12-2018,279,275,275.75,602183,4223
05-12-2018,283.05,277.7,280.2,686643,5467
04-12-2018,287.9,281.9,282.3,982218,5245
03-12-2018,287.9,283.4,287,712981,4565
30-11-2018,290.8,283.3,284.35,812783,6079
29-11-2018,289.65,284.25,286.25,782172,5352
28-11-2018,292.45,283,284.15,1414725,9272
27-11-2018,290.2,283.9,289.05,1246974,7265
26-11-2018,286.8,279.75,285.7,953082,6521
22-11-2018,287,281.5,282.6,493534,4121
21-11-2018,289.5,283.3,286.55,1825790,6950
20-11-2018,288.65,282,283.05,913371,5839
19-11-2018,293.4,286.3,288.2,697713,6352
16-11-2018,291.05,282.85,290.3,1548651,10087
15-11-2018,287,281.3,285.3,1004630,7143
14-11-2018,287.7,279.1,283.7,7343921,11421
13-11-2018,279.9,273.5,278.15,965595,6387
12-11-2018,284,276.85,277.75,1745463,6416
09-11-2018,287.45,282.55,283,4075029,8080
07-11-2018,290,285.95,286.65,250372,2660
06-11-2018,298.15,284.3,286.5,2486352,16580
05-11-2018,299.9,283.75,295.3,2519900,18023
02-11-2018,292.65,283.25,285.45,1738174,11493
01-11-2018,288.35,278.85,285.7,1765394,11479
31-10-2018,281.8,268.7,280.5,1620969,13691
30-10-2018,279,266.15,273.15,2144031,14385
29-10-2018,268.75,248.3,268.05,2416167,15994
26-10-2018,254,247.65,248.1,1037269,7705
25-10-2018,255,248.4,249.65,1439903,11840
24-10-2018,261.85,252.9,255.5,1270634,8201
23-10-2018,259,254.95,255.35,1194413,8034
22-10-2018,266.5,259,259.95,3525967,8836
19-10-2018,264,258.1,260.85,1526541,8238
17-10-2018,275,259.9,261.15,1282755,9188
16-10-2018,271,263.6,270.2,1837519,8561
15-10-2018,265.6,261,263.35,896570,6811
12-10-2018,268,261.5,263.35,6700498,11518
11-10-2018,271.25,261.1,262.15,2638145,19739
10-10-2018,279.4,261.15,278.1,1684200,11941
09-10-2018,268.7,259.7,262.65,1145115,9832
08-10-2018,268.35,258.55,266,1077520,9426
05-10-2018,272,255.95,257.8,2129211,17252
04-10-2018,272.4,265.8,270.6,998578,8606
03-10-2018,278.3,269.95,270.7,1566631,9087
01-10-2018,274.25,264.4,273.05,1464835,9846
28-09-2018,272.75,262.4,265,1981859,14593
