Date,Symbol,Series,PrevClose,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,DeliverableVolume,Deliverble
03-03-2008,KOTAKBANK,EQ,802.1,792,792,720.35,730,728.35,739.68,1748264,1.29315E+14,,1065163,0.6093
04-03-2008,KOTAKBANK,EQ,728.35,701.65,743,653,691,685.95,690.93,1292433,8.92979E+13,,437084,0.3382
05-03-2008,KOTAKBANK,EQ,685.95,680,708,656.2,679.9,678.45,677.09,1272025,8.61271E+13,,454264,0.3571
07-03-2008,KOTAKBANK,EQ,678.45,674.5,674.5,596,629.5,627.85,623.1,2410976,1.50227E+14,,1539490,0.6385
10-03-2008,KOTAKBANK,EQ,627.85,622,627.5,585,611,606.65,606.82,2594691,1.57451E+14,,1669143,0.6433
11-03-2008,KOTAKBANK,EQ,606.65,600,686.7,581.6,681,673.45,658.12,2200934,1.44847E+14,,735068,0.334
12-03-2008,KOTAKBANK,EQ,673.45,700,725,685,686,693.45,706.17,1361206,9.61245E+13,,511580,0.3758
13-03-2008,KOTAKBANK,EQ,693.45,675,675,615.3,626,624,636.62,946555,6.02593E+13,,344413,0.3639
14-03-2008,KOTAKBANK,EQ,624,626,672,620.35,664.1,662.05,641.58,991007,6.35811E+13,,379899,0.3833
17-03-2008,KOTAKBANK,EQ,662.05,621.65,629.5,589,589.9,598.1,604.65,951796,5.75506E+13,,322903,0.3393
18-03-2008,KOTAKBANK,EQ,598.1,595.05,614.7,554.75,555,564.35,581.06,1252619,7.27844E+13,,441574,0.3525
19-03-2008,KOTAKBANK,EQ,564.35,596.5,618.8,537,544,546.3,584.26,1663130,9.71698E+13,,726193,0.4366
24-03-2008,KOTAKBANK,EQ,546.3,550,576.7,541.4,557,552,556.23,783896,4.36025E+13,,239402,0.3054
25-03-2008,KOTAKBANK,EQ,552,565,643,565,638,627.15,604.45,1776341,1.07372E+14,,913803,0.5144
26-03-2008,KOTAKBANK,EQ,627.15,640,689,613.2,668,680.4,649.54,2072689,1.34629E+14,,791526,0.3819
27-03-2008,KOTAKBANK,EQ,680.4,660,695,650.2,690,680.95,676.81,1136133,7.68947E+13,,346498,0.305
28-03-2008,KOTAKBANK,EQ,680.95,692,700,643.5,672,673.5,663.53,1531348,1.0161E+14,,382813,0.25
31-03-2008,KOTAKBANK,EQ,673.5,673,673,612,622,625.9,636.82,1064109,6.77649E+13,,372060,0.3496
01-04-2008,KOTAKBANK,EQ,625.9,631.35,653.9,596.35,640.5,642.35,631.87,1106400,6.99097E+13,,353342,0.3194
02-04-2008,KOTAKBANK,EQ,642.35,655,680,637.5,639.15,645.55,657.03,1034246,6.79533E+13,,441913,0.4273
03-04-2008,KOTAKBANK,EQ,645.55,642.1,663,631.35,641.8,643.6,646.92,673309,4.35579E+13,,201783,0.2997
04-04-2008,KOTAKBANK,EQ,643.6,642.15,650,604.05,620,614.55,617.25,1294151,7.98809E+13,,464456,0.3589
07-04-2008,KOTAKBANK,EQ,614.55,622,634,591.25,629.05,629.15,616.11,1479413,9.11475E+13,,431954,0.292
08-04-2008,KOTAKBANK,EQ,629.15,633,657,624,636.1,642.25,640.37,2189056,1.4018E+14,,1069874,0.4887
09-04-2008,KOTAKBANK,EQ,642.25,640,674.9,631.65,672.35,670.2,657.21,1166325,7.66524E+13,,303576,0.2603
10-04-2008,KOTAKBANK,EQ,670.2,678,679,643.15,648,647.7,659.69,1433358,9.45565E+13,,593711,0.4142
11-04-2008,KOTAKBANK,EQ,647.7,650,662,636,638,638.55,645.56,817264,5.27591E+13,,211537,0.2588
15-04-2008,KOTAKBANK,EQ,638.55,638.55,680,623,679.05,676.25,657.64,1751207,1.15167E+14,,819476,0.4679
16-04-2008,KOTAKBANK,EQ,676.25,725,725,683,714,710.7,703.91,1140607,8.0289E+13,,370399,0.3247
17-04-2008,KOTAKBANK,EQ,710.7,720,736.7,716.25,718.25,719.95,725.9,684918,4.97184E+13,,122599,0.179
21-04-2008,KOTAKBANK,EQ,719.95,728,744.95,703.2,740,738.95,728,666655,4.85325E+13,,182106,0.2732
22-04-2008,KOTAKBANK,EQ,738.95,736.15,765,730.05,751.5,754.2,753.18,1343110,1.0116E+14,,525896,0.3916
23-04-2008,KOTAKBANK,EQ,754.2,752,766,749.5,764,761.65,757.41,917396,6.94844E+13,,453697,0.4945
